epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.6448,0.53847,0.87671,1,0.33062,0.000543587,0.000543587,0.000543587
2,44.9287,0.29166,0.90411,1,0.19802,0.00106298,0.00106298,0.00106298
3,66.9981,0.25399,0.93836,1,0.13769,0.0015457,0.0015457,0.0015457
4,89.6228,0.20163,0.9589,1,0.09537,0.00150197,0.00150197,0.00150197
5,112.66,0.13451,0.93836,1,0.0965,0.00144696,0.00144696,0.00144696
6,136.251,0.14067,0.86301,1,0.27843,0.00139195,0.00139195,0.00139195
7,159.609,0.12939,0.9726,1,0.10151,0.00133693,0.00133693,0.00133693
8,183.826,0.14006,0.95205,1,0.07734,0.00128192,0.00128192,0.00128192
9,206.61,0.1486,0.95205,1,0.10412,0.00122691,0.00122691,0.00122691
10,228.916,0.09681,0.97945,1,0.06778,0.0011719,0.0011719,0.0011719
11,251.355,0.07785,0.9863,1,0.02944,0.00111689,0.00111689,0.00111689
12,274.078,0.08838,0.97945,1,0.05826,0.00106188,0.00106188,0.00106188
13,296.705,0.06923,0.97945,1,0.03303,0.00100687,0.00100687,0.00100687
14,318.923,0.05563,0.9726,1,0.0547,0.000951857,0.000951857,0.000951857
15,341.306,0.05517,0.97945,1,0.04508,0.000896846,0.000896846,0.000896846
16,363.403,0.0646,0.9863,1,0.036,0.000841835,0.000841835,0.000841835
17,385.991,0.04319,0.9863,1,0.03221,0.000786824,0.000786824,0.000786824
18,409.194,0.04025,0.97945,1,0.03717,0.000731813,0.000731813,0.000731813
19,431.402,0.04281,0.97945,1,0.03934,0.000676802,0.000676802,0.000676802
20,453.823,0.04696,0.9726,1,0.03386,0.000621791,0.000621791,0.000621791
21,475.912,0.03745,0.97945,1,0.06,0.00056678,0.00056678,0.00056678
22,498.308,0.03442,0.97945,1,0.04699,0.000511769,0.000511769,0.000511769
23,520.62,0.03593,0.97945,1,0.05686,0.000456758,0.000456758,0.000456758
24,542.948,0.03973,0.9726,1,0.06421,0.000401747,0.000401747,0.000401747
25,565.447,0.05644,0.97945,1,0.0522,0.000346736,0.000346736,0.000346736
26,587.77,0.04047,0.97945,1,0.06912,0.000291725,0.000291725,0.000291725
